,text,target
800327,there is link about how to enjoy dark chocolate within the post..  http://chai-coffee.blogspot.com/2009/04/chocolate-flavoured-math.html,1
800328,"@chazdrums if i know how to do something, and have time... Its so easy to answer ",1
800329,"Wow, the house looks so different...AND OH MY GOD MY DOGGIES ",1
800330,ahhh loved this sunny day....I am working a good sun burn on my nose ,1
800331,@FoamingBBQ I had to read it last semester.  By &quot;read&quot; I mean skim for keywords and read online outlines.   Got an A too ,1
800332,@dalecruse Yay! Love Box.net  My first business partner Sam Ghods is on the founding team. SO proud of him 4 building an excellent utility,1
800333,@JonathanRKnight Glad to hear that you had such a great night! You rock &amp; I hope tonight is just the 1st of many feel good shows for you! ,1
800334,Anyone else catch Scott Bakula's &quot;Oh Boy&quot; in #Chuck tonight?  ,1
800335,@fatbellybella the media is a trip [period] we have to guard our minds...along with our hearts. Don't fret ms.badu UR THE BEST!! its true ,1
800336,"Ahh, the tedium of fixing broken file links in Inventor.  Good times.  ",1
800337,@theDebbyRyan  where!!?!? ,1
800338,@Laatina MONDAYS ARE WHAT YOU MAKE OF IT. ,1
800339,Well in the past two days I have had 45 min. of sleep.  I'm going to watch TV while laying in bed and try to sleep.. Night peepers ,1
800340,I'm officially going to bed! Goodnight ,1
800341,I now have painting clothes!   ,1
800342,@msaleem LOL not yet my brutha from anotha mutha ,1
800343,ryanrossfanz  &lt;-- FOLLOW THEM!  Ryan is uber!,1
800344,@JonathanRKnight you close your eyes and pick one and hit reply. ,1
800345,@ronashively Connections Academy has been great for our family...and thousands more across the country!  Happy to tell you more ,1
800346,"@QUEENIE909 hum nice 1! lol take something..LOL yeah party over there, haha u kno them drunk ass's  Will i b seeing you @ Janets party??",1
800347,#nightcard The Star: what a wonderful card for a new beginning both for you and Ankie 1.0  Welcome! ,1
800348,Loves the German bakeries in Sydney. Together with my imported honey it feels like home ,1
800349,I'm an uncle now! ,1
800350,@katiehayes415 Levon...couldn't have said it better my self.  ,1
800351,"@dmf71 I should change my name to qoosfr (queen of obscure science fiction references) instead of cbn2, which only 1 person understands. ",1
800352,@DolfinFan  Our picnic will be fabulous!,1
800353,@DaveJMatthews Welcome back to NYC! ,1
800354,@nashipear Sorry I am talking to my best friend.. So I havent replied!!  But I can talk to you too!,1
800355,@corinmcblide oh ok then i am gonna go and buy one for when i come up there ,1
800356,tafe quiz then PHOTOSHOOT with my sezdawg ,1
800357,@berofx: good luck with your challenge ,1
800358,oh oh found some clothes!!  And i love em xD,1
800359,Rocking out to No Doubt and gonna start up some more Neverwinter Nights ,1
800360,"@kameelahwrites phew! all that hair, gyal! ",1
800361,keepin it real.  ,1
800362,&lt;------ Branded ,1
800363,"I'm adding my fellow PFers.  Nice to see so many of us here, too! ",1
800364,Had a good time at Eat n Park drinking a latte and playing Munchkin Impossible with @Chriswolfe2007. ,1
800365,@momentbymoment1 - I'm sure you and your site will! ,1
800366,@JonathanRKnight Good luck with the cruise!! Your gonna need it! ,1
800367,"@glutenfreegirl  well, I'm doing whatever our neighbor tells us, and if that produces vegetables, I'm cooking them!",1
800368,"@milagro88 Hi there, Cel.  How are you doing today?",1
800369,"@Chubbx Goooooood morning, Chubbx  how are you today?",1
